"Nummer
Aantal met nr: 304
(eerst vrije nr: 375)";Type;Benodigde SGR/SuwiML elementen voor berekening;SuwiML bericht;Benodigde elementen over transactie voor berekening;;;;
85;AQ;"UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding

UITKERINGSPERIODE
* DatBUitkeringsperiode
* DatEUitkeringsperiode

NETTO UITKERINGSBEDRAG (SVB)
* DatBNettoUitkeringsbedr
* DatENettoUitkeringsbedr
* WaardeBedr
* CdUitkeringsperiode

BRUTO UITKERINGSBEDRAG (SVB)
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* WaardeBedr
* CdUitkeringsperiode

Elementen voor UWV netto uitkering uitzoeken (is bruto uitkering minus de premie inhoudingen en toeslagen)

BRUTO UITKERINGSBEDRAG (UWV)
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* WaardeBedr
* CdUitkeringsperiode

BIJSTANDSUITKERINGEN (GSD)
* BedrBetaalbaarGesteldeUitkering";"UWVdossierWerknemersverzekeringen
SVBDossierPersoon
Bijstandsregelingen";;;;;
88;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* voor alle loononderdelen
Bedr p36 (IK: pag 163 ent&geg.el?)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr

INKOMSTENPERIODE
*CdSrtIkv";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
89;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* voor alle loononderdelen
Bedr p36 (IK: pag 163 ent&geg.el?)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
90;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* voor alle loononderdelen
Bedr p36 (IK: pag 163 ent&geg.el?)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
91;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* voor alle loononderdelen
Bedr p36 (IK: pag 163 ent&geg.el?)
...
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
92;BQ;"AANSPRAAK OP INKOMEN
* CdSrtAanspraakOpInkomen
* DatBAanspraakOpInkomen
* DatEAanspraakOpInkomen
";;Peildatum voor berekening rekenregel;;;;
93;BQ;;;;;;;
95;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrExtraPrdSalaris
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
96;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrExtraPrdSalaris
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
98;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* BedrVakantietoeslag
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
99;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
* BedrVakantietoeslag
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
100;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
101;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrOpgbRechtVakantietoeslag
* BedrVakantietoeslag
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Periode voor berekening rekenregel;;;;
104;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrVergoedingReiskostenOnbelast
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr??";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
105;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrVergoedingReiskostenOnbelast
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
111;AQ;"MAATSCHAPPELIJKE ACTIVITEIT
* InschrijvingsnrKvK 
* DatBMaatschappelijkeActiviteit
* DatEMaatschappelijkeActiviteit";NHR Dossier;Peildatum voor berekening rekenregel;;;;
112;AQ;"MAATSCHAPPELIJKE ACTIVITEIT
* InschrijvingsnrKvK 
* DatBMaatschappelijkeActiviteit
* DatEMaatschappelijkeActiviteit

HANDELSNAAM
* Handelsnaam";NHR Dossier;Peildatum voor berekening rekenregel;;;;
113;AQ;"BEDRAG NETTO INKOMSTEN UIT WERKZAAMHEDEN ANDERS DAN IN ARBEIDSVERHOUDING
* CdContextWerkBuitenArbeidsverh";;;;;;
114;BQ;"OVERIGE INKOMSTEN
*CdSrtOverigeInkomsten
";Bijstandsregelingen;;;;;
115;AQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
116;AQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten
* BedrOverigeInkomstencomponent";Bijstandsregelingen;;;;;
117;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp
* CdSrtIkv
";UWVDossierInkomsten;;;;;
118;AQ;;;;;;;
119;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp
* CdSrtIkv
";UWVDossierInkomsten;;;;;
120;BQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
121;BQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
122;BQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten
* BedrOverigeInkomstencomponent";Bijstandsregelingen;;;;;
126;AQ;;;;;;;
127;AQ;;;;;;;
128;AQ;;;;;;;
129;BQ;;;;;;;
130;BQ;;;;;;;
131;BQ;;;;;;;
132;BQ;"RE-INTEGRATIE INZET
* DatBReIntegratieInzet
* DatEReIntegratieInzet";;;;;;
133;BQ;;;;;;;
134;BQ;;;;;;;
135;BQ;;;;;;;
136;BQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
137;BQ;"OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
138;BQ;"OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
139;BQ;"OVERIGE INKOMSTEN
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
140;BQ;"OVERIGE INKOMSTEN
* BedrOverigeInkomstencomponent
* CdSrtOverigeInkomsten";Bijstandsregelingen;;;;;
141;BQ;;Bijstandsregelingen;;;;;
196;BQ;"OVERIGE INKOMSTEN
*CdSrtOverigeInkomsten
* BedrTotaalOverigeInkomsten";;;;;;
197;BQ;Niet bekend in SGR;;;;;;
198;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrIngehoudenLbPremieVolksverz
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
;AQ;;;;;;;
;AQ;;;;;;;
199;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrIngehoudenLbPremieVolksverz
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
200;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVEN
* DatBIko
* DatEIko
* BedrVergoedingZvw
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr
* CDPeriodeEenheidGeldigheidBedr";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
201;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENPERIODE
* DatBIkp
* DatEIkp 
* IndLoonheffingskortingToegepast";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
202;AQ;"INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv

INKOMSTENOPGAVE
* DatBIko
* DatEIko
";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
203;AQ;;;;;;;
204;AQ;;;;;;;
205;AQ;"INKOMSTENPERIODE
*CdSrtIkv
* DatBIkp
* DatEIkp

";UWVDossierInkomsten;;;;;
206;BQ;;;;;;;
207;BQ;;;;;;;
287;END1;;;;;;;
344;END1;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;END2;;;;;;;
39;AQ;"ClientSuwi/Huwelijk/DatHuwelijkssluiting
ClientSuwi/Huwelijk/DatOntbindingHuwelijk
ClientSuwi/Ouder1/Burgerservicenr
ClientSuwi/Ouder2/Burgerservicenr
ClientSuwi/Kind/Burgerservicenr






ClientSuwi/OverigeInwonende/Geboortedat



ClientSuwiKind/IndKinderbijslag
";"BRPDossierPersoonvraag-v0200










BRPDossierPersoonBewonersvraag-v0200


SVBDossierPersoon-v0300";* Aangeleverde peildatum;;;;
41;AQ;ClientSuwi/Kind/Geboortedat;"BRPDossierPersoonVraag

ER:
BRPDossierPersoonUWV";* Aangeleverde peildatum;;;;
42;AQ;ClientSuwi/Kind/Geboortedat;"BRPDossierPersoonVraag

ER:
BRPDossierPersoonUWV";* Aangeleverde peildatum;;;;
43;AQ;"ClientSuwi/Kind/IndKinderbijslag







EB: 
SVBPersoonsInfoResponse/ClientSuwi/Kind/IndKinderbijslag

Indien waarde = 1 (Ja), dan is het antwoord JA, anders is het antwoord NEE";"SVBDossierPersoon




EB:
SVBDossierPersoon";* Aangeleverde peildatum;;;;
45;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
46;BQ;Geen;Geen;* Aangeleverde peildatum;;;;
;AQ;;;;;;;
;AQ;;;;;;;
347;AQ;"Kind
* Burgerservicenr";BRPDossierPersoon;* Aangeleverde peildatum;;;;
348;AQ;;;;;;;
349;AQ;"Kind
*SignificantDeelVanDeAchternaam";BRPDossierPersoon;;;;;
350;AQ;"Kind
*Voorvoegsel";BRPDossierPersoon;;;;;
351;AQ;;;;;;;
352;AQ;"Kind
*Voornamen";BRPDossierPersoon;;;;;
353;AQ;"Kind
*Voornamen";BRPDossierPersoon;;;;;
354;AQ;"Kind
*Burgerservicenr

DUDossierPersoon
* Onderwijsovereenkomst/DeelnameOpleidingGeregistrDuo/DatBDeelnameOpleiding";"BRPDossierPersoon

DuoDossierPersoon";;;;;
355;AQ;"Kind
*Burgerservicenr

DUDossierPersoon
* Onderwijsovereenkomst/DeelnameOpleidingGeregistrDuo
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding
* CdLeerWegMbo";"BRPDossierPersoon


DuoDossierPersoon";;;;;
356;AQ;"Kind
*Burgerservicenr

DUDossierPersoon
* Onderwijsovereenkomst/DeelnameOpleidingGeregistrDuo
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding
* CdLeerWegMbo
";"BRPDossierPersoon


DuoDossierPersoon";;;;;
357;AQ;"Kind
*Burgerservicenr

DUDossierPersoon
* Onderwijsovereenkomst/DeelnameOpleidingGeregistrDuo
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding
* InhoudDeelnameOpleidingDuo/CdNiveauOpleidingDuo";"BRPDossierPersoon


DuoDossierPersoon";;;;;
358;AQ;"Kind
*Burgerservicenr

DUDossierPersoon
* Onderwijsovereenkomst/DeelnameOpleidingGeregistrDuo
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding
* InhoudDeelnameOpleidingDuo/NaamOpleidingKortDuo";"BRPDossierPersoon


DuoDossierPersoon";;;;;
124;AQ;"INKOMSTENPERIODE 
*CdSrtIkv

INKOMSTENVERHOUDINGEN
* DatBIkv
* DatEIkv";UWVDossierInkomsten;Peildatum voor berekening rekenregel;;;;
176;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";Bijstandregelingen-v0500;* Aangeleverde peildatum;;;;
177;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";SVBDossierPersoon-v0300;* Aangeleverde peildatum;;;;
178;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";Bijstandregelingen-v0500;* Aangeleverde peildatum;;;;
179;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";Bijstandregelingen-v0500;* Aangeleverde peildatum;;;;
180;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
181;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
182;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
183;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
184;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
185;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
186;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
187;AQ;"Uitkeringsverhouding
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding
* SzWet/CdSzWet";UWVDossierWerknemersverzekeringen-v0200;* Aangeleverde peildatum;;;;
188;AQ;"* DatBUitkeringsverhouding 
* DatEUitkeringsverhouding 
* CdSzWet";"Bijstandsregelingen
SVBDossierPersoon";;;;;
189;AQ;"UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding

SZ Wet
* CdSzWet";"SVBDossierPersoon 

";Peildatum voor berekening rekenregel;;;;
190;AQ;"UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding

SZ Wet
* CdSzWet

UITKERINGSPERIODE
* DatBUitkeringsperiode
* DatEUitkeringsperiode

BrutoUitkeringsbedr
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* CdMunteenheid
* WaardeBedr
* CdUitkeringsperiode
";"SVBDossierPersoon 

";Peildatum voor berekening rekenregel;;;;
191;AQ;"UITKERINGSVERHOUDINGEN
* DatBUitkeringsverhouding
* DatEUitkeringsverhouding 

SZ Wet 
* CdSzWet 

UITKERINGSPERIODE 
* DatBUitkeringsperiode 
* DatEUitkeringsperiode 

Bruto Uitkeringsbedr 
* DatBBrutoUitkeringsbedr
* DatEBrutoUitkeringsbedr
* CdMunteenheid
* WaardeBedr
* CdUitkeringsperiode";"SVBDossierPersoon 

BL: mogelijk ook in UWVDossierinkomsten of UWVDossierWerknemersverzekeringen";Peildatum voor berekening rekenregel;;;;
192;AQ;"UITKERINGSVERHOUDINGEN
*DatBUitkeringsverhouding
*DatEUitkeringsverhouding

UITKERINGSPERIODE
*DatBUitkeringsperiode
*DatEUitkeringsperiode

REDENMAATREGELMBTBIJSTANDUITK
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering

REDENMAATREGELMBTUITKERINGUWV
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering";"Bijstandsregelingen
UWVdossierWerknemersverzekeringen";Peildatum voor berekening rekenregel;;;;
193;AQ;"UITKERINGSVERHOUDINGEN
*DatBUitkeringsverhouding
*DatEUitkeringsverhouding

UITKERINGSPERIODE
*DatBUitkeringsperiode
*DatEUitkeringsperiode

REDENMAATREGELMBTBIJSTANDUITK
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering

REDENMAATREGELMBTUITKERINGUWV
*DatBMaatregelmbtuitkering
*DatEMaatregelmbtuitkering";"Bijstandsregelingen
UWVdossierWerknemersverzekeringen";Peildatum voor berekening rekenregel;;;;
194;AQ;;;;;;;
276;END2;;;;;;;
277;END1;;;;;;;
49;AQ;"MEDEBEWONER
* BSN MEDEBEWONER


";BRPDossierPersoonBewonersvraag;* Aangeleverde peildatum;;;;
51;AQ;"MEDEBEWONER
* Geboortedat";BRPDossierPersoonBewonersvraag;;;;;
52;AQ;"MEDEBEWONER
* Geboortedat";BRPDossierPersoonBewonersvraag;;;;;
53;AQ;"MEDEBEWONER
KIND
OUDER 1
OUDER 2";BRPDossierPersoonvraag & BRPDossierPersoonBewonersvraag;;;;;
55;AQ;"MEDEBEWONER
KLEINKIND
GROOTOUDER
BROER
ZUS";BRPDossierPersoonvraag & BRPDossierPersoonBewonersvraag;;;;;
57;AQ;"MEDEBEWONER
PARTNER
KIND
OUDER 1
OUDER 2";BRPDossierPersoonvraag & BRPDossierPersoonBewonersvraag;;;;;
59;AQ;"MEDEBEWONER
PARTNER
KLEINKIND
GROOTOUDER
BROER
ZUS";BRPDossierPersoonvraag & BRPDossierPersoonBewonersvraag;;;;;
62;AQ;"MEDEBEWONER
STUDIEFINANCIERING
* IndRechtOpStudiefinanciering";BRPDossierPersoonvraag & DUODossierPersoon;;;;;
63;AQ;"MEDEBEWONER 
STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* IndToekenningWtosVo18
";DUODossierStudiefinanciering;;;;;
64;AQ;"MEDEBEWONER
DEELNAME OPLEIDING GEREGISTREERD BIJ DUO
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding
* CdLeerwegMbo";BRPDossierPersoonBewonersvraag & DUODossierPersoon;Peildatum voor berekening rekenregel;;;;
66;BQ;"MEDEBEWONER
Huwelijk/geregistreerd partnerschap
* DatHuwelijkssluiting
* DatOntbindingHuwelijk

KIND
MEDEBEWONER (gezamelijke huishouding, kostendelers relatie)
";BRPDossierPersoon-Sets;"BSN 
Peildatum";;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
320;AQ;;BRPDossierPersoonBewonersvraag;;;;;
;AQ;;;;;;;
340;BQ;;;;;;;
150;AQ;ClientSuwi/IndStartkwalificatieDuo;DUODossierPersoon-v0600;* Aangeleverde peildatum;;;;
151;AQ;;;;;;;
152;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
";DUODossierStudiefinanciering;* Aangeleverde peildatum;;;;
153;AQ;"DEELNAME OPLEIDING GEREGISTREERD BIJ DUO
* DatBDeelnameOpleiding
* DatEDeelnameOpleiding

";DUODossierPersoon;Peildatum voor berekening rekenregel;;;;
154;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
155;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* CdStatusPartnertoeslagStufi";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
156;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* CdStatusEenOudertoeslagStufi";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
157;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* CdToekenningBasisbeursStufi

BedrBasisbeursStufi
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeBeursStufi
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeBeursStufi,BedrBasistoelageWtosVo18
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeToelageWtosVo18
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
158;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* CdToekenningBasisbeursStufi

BedrBasisbeursStufi
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeBeursStufi
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeBeursStufi,BedrBasistoelageWtosVo18
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

BedrAanvullendeToelageWtosVo18
* CdMunteenheid
* CdPositiefNegatief
* WaardeBedr 
* CdPeriodeEenheidGeldigheidBedr

";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
159;AQ;;;;;;;
160;AQ;"STUDIEFINANCIERING
* DatBToekenningsperiodeStufi
* DatEToekenningsperiodeStufi
* IndToekenningWtosVo18
";DUODossierStudiefinanciering;Peildatum voor berekening rekenregel;;;;
161;AQ;;;;;;;
162;AQ;;;;;;;
275;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
274;END2;;;;;;;
;;;;;;;;
303;END1;;;;;;;
342;AQ;;;;;;;
;AQ;;;;;;;
;AQ;;;;;;;
